product, price, location, date
All professional sewing supplies,$0,NA,Dec  8
2020 Lexus nx300h lift gate spoiler fin,$259, (south gate),Dec  8
Two Gene Boyer Vintage Paintings.,$300, (El Sereno-South Pasadena),Dec  8
14ft aluminum fishing boat,$1500, (West Covina),Dec  8
Wooden Cart - Medium size - Grey,$10, (Los Angeles),Dec  8
Banana Enchi Male ball python,$350, (Covina),Dec  8
Banana Enchi Male ball python,$350, (Covina),Dec  8
2016 BMW 3-Series 320i Sedan,$0, (- $495.00 Down* oac **All Credit Accepted**),Dec  8
Cal King mattress pad - extremely fluffy,$15, (Long Beach),Dec  8
iPhone XS Unlocked,$625, (Pasadena),Dec  8
Buy my preowned PS2... Play Station 2,$0,NA,Dec  8
Parakeet and Cage,$150, (Los Angeles),Dec  8
2019 Acura RDX driver side rear door,$375, (lynwood),Dec  8
Vintage mid century patio chairs set of 2,$50, (Long Beach),Dec  8
Antique. Tall Secretary Desk Drop Top with Hutch. Claw Feet,$280, (Woodland Hills),Dec  8
Clothing/garment steamer - Steamfast SF-407,$30, (Long Beach),Dec  8
Armani jacket 10/46,$19, (Calabasas),Dec  8
2011 Toyota Tundra front bumper,$159, (south gate),Dec  8
Children’s snow pants size 2/3 by Disney,$10, (Torrance),Dec  8
Children’s blue SNOW PANTS by Disney- size 5/6,$8, (Torrance),Dec  8
Decorative sword with red velvet sheath,$20, (thousand oaks),Dec  8
2020 BENTLEY CONTINENTAL GT  PASSENGER SIDE FENDER,$499, (south gate),Dec  8
Baldor Dental Polishing lathe,$120, (Gardena),Dec  8
4-Set Nissan Ultima Stock Rims and All-Season Tires,$400, (L.A. city/county),Dec  8
Stroller Car Seat Graco Bedding Clothes Shoes NB-4 yr Monitor Rail,$1, (West LA),Dec  8
Antique 100 Year Old 'Van Bergh' Ornate Candle Holder Circa 1890-1925,$70, (Monterey Park),Dec  8
Doll in Japanese Kimono,$10, (Monterey Park),Dec  8
Vintage Chess set - red and white pieces,$10, (Monterey Park),Dec  8
Vintage Piano Music Box,$8, (Monterey Park),Dec  8
Pair of Vintage Silverplate Goblets from Italy,$10, (Monterey Park),Dec  8
Hybrid Battery Repair,$350, (Burbank),Dec  8
2018 Honda HRV passenger side rocker molding,$199, (south gate),Dec  8
Vintage Child Desk,$50, (Torrance),Dec  8
Williams Sonoma Snowman Dessert Plates and Mugs Cups Set of 6 NEW,$40, (Rancho Palos Verdes),Dec  8
Vintage Boho Wicker Rattan Arch Removable Shelves MCM Bohemian Bookcase Plant,$325, (Whittier),Dec  8
14K Yellow Gold Hose Shoe Religious Ring (Size 9),$650, (Los Angeles),Dec  8
Lace Slip on Silver Leopard Framed Art,$11, (Culver City),Dec  8
Coca-Cola Soda Pop Signs Coin-op,$0, (Del Mar),Dec  8
2017 Chevy Volt driver side fender,$169, (south gate),Dec  8
Cat Piano,$15, (Monterey Park),Dec  8
Vintage Japanese Wood Block Print,$20, (Monterey Park),Dec  8
men's frimstrong the chief beach cruiser,$200, (Lakewood ca),Dec  8
Game of Thrones - Lannister Shield - Replica (small),$12, (Monterey park),Dec  8
Retro Vintage Red Lamp,$55, (Los Angeles),Dec  8
“Now Playing” card / picture holder,$5, (Monterey Park),Dec  8
New small appliances...connect with me,$0, (FOUNTAIN VALLEY),Dec  8
2016 FORD ESCAPE HOOD,$289, (south gate),Dec  8
Ibanez AR 325,$380, (Redlands),Dec  8
Macbook Pro 15 2018 512GB,$1450, (North Hollywood),Dec  8
Vintage Japanese Doll With Bird,$8, (Monterey Park),Dec  8
Honda Accord Stereo Speakers,$140, (Los Angeles),Dec  8
** $750 - XBOX SERIES X +RECEIPT - CALL NOW!!!,$750, (BURBANK CALL),Dec  8
Only the best sewing supplies --- professional grade,$0,NA,Dec  8
Winegard Roadtrip Mission,$350, (Santa Clarita),Dec  8
2010 Kia Sportage rear bumper new,$159, (south gate),Dec  8
Briggs and Riley  suitcase,$149, (Calabasas),Dec  8
Formal Womens Dresses. SZ: 6/7,$28,NA,Dec  8
Vintage Super Quiz I II by Isaac Asimov and Trivia Chal ($12 for all),$12, (Monterey Park),Dec  8
Japanese doll with orange ball,$8, (Monterey Park),Dec  8
Vintage German Beer Stein - GERZ,$25, (Monterey Park),Dec  8
New Silver Tinsel Baseball/Bomber Jacket NWOT,$12, (Culver City),Dec  8
Iron frame mirror,$8, (Monterey Park),Dec  8
2015 Ford Expedition radiator core support,$199, (south gate),Dec  8
Small appliances for your home,$0,NA,Dec  8
Cruiser Bike w Matching Lock & Helmet,$200, (West Hollywood),Dec  8
Two Gibson Cerwin-Vega Speakers,$260, (Culver City),Dec  8
This Futon opens to a bed... great Sofa/Couch),$0,NA,Dec  8
2018 Infiniti Q60 .... Grill,$269, (south gate),Dec  8
For your home... new furnishings and something for your child,$0,NA,Dec  8
Trophy Style Lamp,$20, (Culver City),Dec  8
LG OPTIMUS F3 VM720/LS720,$46, (Van Nuys),Dec  8
2002 THRU 2005 BENZ G555 REAR BUMPER PASSENGER END PLASTIC CAP  M,$139, (south gate),Dec  8
Scrapbooking Decorative Edge Crafting Scissors Lot of 32,$50, (Rancho Palos Verdes),Dec  8
NEW .... FOR YOU,$0,NA,Dec  8
Corvette Parking only,$0,NA,Dec  8
Great for your kitchen or office,$0,NA,Dec  8
2018 Lexus RX driver side front door,$299, (south gate),Dec  8
Drive Spitfire,$250, (moorpark),Dec  8
2010 chevrolet tahoe,$10900, (Los Angeles),Dec  8
Oil Lamp - Antique Style,$50, (Sun Valley),Dec  8
2019 BMW X2  MSPORT REAR BUMPER,$299, (south gate),Dec  8
Creative Memories 12x12 Disney Mickey Mouse Scrapbook Album -RARE -NEW,$30, (Rancho Palos Verdes),Dec  8
Perfect for your home,$0,NA,Dec  8
Dodge charger 18 inch chrome aluminum wheels. challenger or Magnum,$400, (Montebello),Dec  8
1965 CORVETTE GM FUEL INJECTION FENDER EMBLEMS NOS 3857572,$30, (Glendora),Dec  8
2019 Toyota Prius model C front bumper,$199, (south gate),Dec  8
PS 2 (Play Station 2) for sale,$0,NA,Dec  8
Brand New Angle Grinder,$30, (Santa Monica),Dec  8
Allen and Heath MixWizard 16:2 WZ3,$300, (Baldwin Hills),Dec  8
New pizza maker and more,$0,NA,Dec  8
BURBERRY Toddler Kids Nyles Boots - Unisex size 8.5,$50, (Los Angeles),Dec  8
Pizzazz for your kitchen...new stuff!,$0,NA,Dec  8
2007 CHRYSLER CROSSFIRE FRONT BUMPER LOWER MESH,$159, (south gate),Dec  8
CADILLAC ESCALADE 02 USED HEADLAMP RIGHT,$85, (Sun Valley),Dec  8
2015 MERCEDES-BENZ GLK350 42K miles only GLK,$15800, (Pasadena),Dec  8
Need a couch or sofa.  I have a futon and more...opens to bed,$0,NA,Dec  8
Futon (Sofa/Couch -- opens to a bed..Queen Sheet Sets and Appliances..,$0,NA,Dec  8
2017 Audi A4 driver side front door,$229, (south gate),Dec  8
Treat yourself to some new things for your home,$0,NA,Dec  8
Schwinn hybrid Vintage Male or Female Comfy ride,$150, (Rancho Palos Verdes),Dec  8
2011 Nissan Altima 2.5 Sport White,$4000, (Los Angeles),Dec  8
A must to make pizzas!,$0,NA,Dec  8
Couch and Cabinets,$600, (Lake Hughes),Dec  8
Play Station 2 for you ... more too for sale,$0,NA,Dec  8
2018 INFINITY QX30 .. REAR BUMPER,$199, (south gate),Dec  8
Original PAC-Man arcade glass,$0,NA,Dec  8
Car seat MONITOR NB-36 mo BEDDING RAIL stroller booster,$1, (WEST LA),Dec  8
...all for the home,$0,NA,Dec  8
2011 Toyota Highlander passenger side tail lamp,$89, (south gate),Dec  8
Gold Frame / Glass Top Console Table,$25, (Silver Lake),Dec  8
2013 2014 2015 2016 Porsche Boxster Cayman ... HOOD,$499, (south gate),Dec  8
Rare Antique West African Lobi Chair,$450,NA,Dec  8
Birthday Party DJ - Available this Weekend,$0, (Pomona),Dec  8
Vintage Italian Travertine Coffee Table made in 1970s Postmodern,$975,NA,Dec  8
Nice Wood and Metal Queen Bed Frame,$100, (Marina Del Rey),Dec  8
Volkswagen Jetta 2016,$8000, (Sherman Oaks),Dec  8
WANTED TO BUY CHEV CORE ENGINES,$1, (San Pedro),Dec  8
Want to cook alot of rice??,$0,NA,Dec  8
Like new white Kenmore (electric 220V )stove large Oven  super clean,$275, (NORTHRIDGE),Dec  8
2017 GMC Yukon driver side fender,$299, (south gate),Dec  8
AMD Radeon 6800 XT,$1150,NA,Dec  8
Apple AirPort Extreme Base Station,$5, (Culver City),Dec  8
Nikon Nikkormat FT3 SLR Film Camera W/ Accessories,$175, (West Hollywood),Dec  8
LG Portable Air Conditioner - LP1015WNR,$160, (Palms),Dec  8
Great condition LG electric 220 V dryer with all cycles temperature,$255, (NORTHRIDGE),Dec  8
2010 VW CC,$2500, (NORTHRIDGE),Dec  8
LG Portable Air Conditioner - LP1015WNR,$160, (Palms),Dec  8
Great condition LG electric 220 V dryer with all cycles temperature,$255, (NORTHRIDGE),Dec  8
2010 VW CC,$2500, (NORTHRIDGE),Dec  8
Antique Engraved Water Buffalo Horns From Philippines,$60, (Redlands),Dec  8
men's 3g beach cruiser,$200, (Lakewood ca),Dec  8
2014 Cadillac SRX driver side tail lamp,$159, (south gate),Dec  8
Great condition whirlpool stackable washer and dryer electric unit,$595, (NORTHRIDGE),Dec  8
Three 14 inch toyota tacoma hubcaps. $40 each,$100, (Montebello),Dec  8
2019 Giant Trance Ebike SX+0 Upgraded Showroom Condition $8000 MSRP,$5000, (Westlake Village),Dec  8
GREAT CONDITION HOT AND COLD WATER  COOLER DISPENSER,$125, (NORTHRIDGE /// s.f.v),Dec  8
A great FUTON ...the perfect couch sofa opens to a bed,$0,NA,Dec  8
2005 Mercedes Benz G500 G wagon driver side front fender flare,$299, (south gate),Dec  8
Futon (Sofa/Couch -- opens to a bed..Queen Sheet Sets and Appliances..,$0,NA,Dec  8
Potted house plant,$10, (Los Angeles),Dec  8
Silk dress by Etcetera,$18, (Culver City),Dec  8
Good condition true commercial prepare table refrigerator 28,$475, (NORTHRIDGE),Dec  8
Villeroy and Boch Switch 3 Porcelain Platters Bakers Serving Dishes,$35, (Rancho Palos Verdes),Dec  8
something new for your kitchen and home,$0,NA,Dec  8
Vintage Dinning Table 6 chairs,$99, (Walnut),Dec  8
TRUE COMMERCIAL. REFRIGERATOR COOLER 1 DOOR,$375, (NORTRHIDGE),Dec  8
CHEVY MOTOR-383- 350-454 STREET/STRIP ENGINES,$1, (San Pedro),Dec  8
DV Mark Multiamp and some,$1400, (North Hollywood),Dec  8
New Pet’s Carry Bag,$10, (Culver City),Dec  8
2019 TOYOTA PRIUS  TAIL LAMP,$99, (lynwood),Dec  8
DVD movies part 1,$2, (Downey),Dec  8
Fender whammy bar,$12, (North Hollywood),Dec  8
2017 JEEP CHEROKEE LATITUDE LIFT GATE,$399, (south gate),Dec  8
Witernauer men's watch,$120, (North Hollywood),Dec  8
Outdoor tools Brush broom rake,$9, (Hidden Hills),Dec  8
Stove/Range (electric) Amana – Very Clean,$200, (Inglewood),Dec  8
Guess Cargo Pants Sz 27,$5, (Los Angeles),Dec  8
Levis,$40, (N .Hollywood),Dec  8
JEEP WRANGLER JK 2007 - 2018 REAR BUMPER FACTORY STOCK ORIGINAL,$325, (West Hills),Dec  8
Baldwin,$140, (North Hollywood),Dec  8
JEEP WRANGLER JK 2007 - 2018 FRONT BUMPER WITH SKID PLATE & FOG LIGHTS,$350, (West Hills),Dec  8
2017 Jeep Renegade passenger side rear door,$259, (south gate),Dec  8
Marshall JMD:1 212 Cabinet PLUS  1 Speaker,$110, (Redlands),Dec  8
Skagen,$140, (North Hollywood),Dec  8
HUGE RECORD COLLECTION 78's VINYL DISCO ROCK OLDIES,$150, (Chatsworth),Dec  8
BRAND NEW Household Items,$0,NA,Dec  8
70' Mercedes 280S,$12000, (Santa Monica),Dec  8
5LB WEIGHT PLATES WEIDER BLACK 5 POUND,$180, (West hills),Dec  8
Purple Suede Jacket,$10, (Los Angeles),Dec  8
Futon and more for sale,$0,NA,Dec  8
Tubes,$100, (North Hollywood),Dec  8
4 New Tires 245/65R17 Kumho Crugen HT51 245/65/17 2456517,$500, (Van Nuys),Dec  8
Small appliances for your home,$0,NA,Dec  8
Bowflex M5 Max Trainer Maxtrainer,$1300, (West Hills),Dec  8
Gillette razor blades,$12, (North Hollywood),Dec  8
2017  fiat 500x  passenger fender,$129, (south gate),Dec  8
CHEVY MOTOR-383- 350-454 STREET/STRIP ENGINES,$1, (San Pedro),Dec  8
UrbanMod Charles Loveseat,$150, (Los Angeles),Dec  8
Bestop Jeep Wrangler Trektop NX Glide Twill 5492317 4 Door Unlimited J,$1300, (West hills),Dec  8
American Flag Fringe Bag,$20, (Culver City),Dec  8
S E W ... LOTS FOR SALE,$0,NA,Dec  8
2020 Ford Ranger driver side fender,$199, (south gate),Dec  8
Christmas Holiday Round Ceramic Snowman Platter and Glass Toy Platter,$25, (Rancho Palos Verdes),Dec  8
Baby Trend Expedition GLX Jogger Baby Infant Stroller Raspberry Pink,$85, (West Hills),Dec  8
Timberland working boots,$85, (N .Hollywood),Dec  8
Norman Rockwell 332 Magazine Covers ( Signed ),$225, (El Sereno-South Pasadena),Dec  8
Lady's gold ring,$600, (North Hollywood),Dec  8
2018 MAZDA CX5 CX 5 PASSENGER SIDE HEADLAMP,$199, (south gate),Dec  8
BCBG Pumps Sz 11M Like New,$10, (Los Angeles),Dec  8
Original print,$350, (North Hollywood),Dec  8
ikea lillabo kids road city car truck toy floor mat play rug 39" x 52",$10, (Canoga Park),Dec  8
Sony PlayStation 5 Costco Bundle,$1250, (Atwater Village / Los Feliz),Dec  8
2019 Toyota Prius passenger side inner trunk tail lamp,$99, (lynwood),Dec  8
CHEVY MOTOR-383- 350-454 STREET/STRIP ENGINES,$1, (San Pedro),Dec  8
Moving Sale Must Go By 10th,$100, (574 W. 21st ST. San Pedro CA),Dec  8
Mid Century Ceramic Lamp in Ombre Neutrals,$120, (Mar Vista),Dec  8
SWAGTRON E-Bike Folding Electric Bicycle,$325, (Rowland Heights),Dec  8
Brand New Unused Wooden Queen Bed Frame,$250, (Los Angeles),Dec  8
2019 Ford TRANSIT passenger side fender,$199, (lynwood),Dec  8
36 Volt  Charger for E-Bikes Scooters,$10, (Santa Monica),Dec  8
Lots for sale... check it out,$0,NA,Dec  8
We Service And Maintain Your Pond or Aquarium So You Can Enjoy It!,$0, (San Fernando Valley / Los Angeles / Ventura),Dec  8
NEW RARE MODEL BARBIES & ACCESSORIES SETS,$140, (Los Angeles),Dec  8
Broken Shiatsu Neck Back massager,$0, (Santa Monica),Dec  8
2017 2018 2019 Mercedes-Benz CLA250 CLA45 AMG Tail Light,$299, (south gate),Dec  8
Countertop Staining and glossing butcher block,$0, (San Fernando valley),Dec  8
CHEVY MOTOR-454 STREET/STRIP ENGINES,$1, (San Pedro),Dec  8
DYSON DC40 ORIGIN UPRIGHT BAGLESS VACUUM CLEANER,$99, (Diamond Bar),Dec  8
Buugeng spinning wooden S staffs,$25, (Pasadena),Dec  8
QSC and Crown Amplifiers + Digital Zone Processor,$500, (Los Angeles),Dec  8
MCM Gainey Ceramics T-14 Planters,$325, (Mar Vista),Dec  8
BCBG Pumps Sz 11M Like New,$10, (Los Angeles),Dec  8
2012 DODGE CHARGER ... PASSENGER TAIL LAMP,$69, (south gate),Dec  8
Goebel "sister" German figure 1962,$9, (Hidden Hills),Dec  8
Hotel Bellman Cart with Plexi Shelf Insert,$500, (West Hollywood),Dec  8
Mobile office for sale,$50000, (North Hollywood),Dec  8
2001 BMW 325i,$1500, (Santa Monica/WLA),Dec  8
HUGE Gary Hinsche Hard Edge Painting,$495, (Mar Vista),Dec  8
D-Link Xtreme N Gigabit Router,$50, (Rowland Heights),Dec  8
Hybrid battery repair,$350, (Inglewood),Dec  8
Ridgid 12-r Pipe Threader Die Set 3/8 to 2 inch for 300 535,$400, (Bloomington),Dec  8
POWER KRAFT 230 ARK WELDER,$160, (Canoga Park),Dec  8
Vintage Rolling Lucite Bar Cart  Serving Cart,$795, (Mar Vista),Dec  8
Fujitsu LIFEBOOK UH UH572 13.3" Ultrabook Laptop,$280, (Rowland Heights),Dec  8
Misc. Large Vintage Gainey and AP Pots Planters,$0, (Mar Vista),Dec  8
heavy duty rack,$150, (los angeles),Dec  8
Hybrid Battery Repair,$350, (Long Beach),Dec  8
Desktop CNC Machining System,$1900, (North Hollywood),Dec  8
Allen Wrenches,$14, (Hidden Hills),Dec  8
Prius Hybrid Battery Repair,$300, (Vernon),Dec  8
Honda Civic SI EP3 Parts,$160, (Baldwin Park),Dec  8
Weight Bench with 80-lb. Weight Set,$250, (Inglewood),Dec  8
Free item great shape,$0, (Redondo Beach),Dec  8
Loading Press. BEAT THE AMMO SHORAGE,$500, (Canoga Park),Dec  8
Weigh Beam Scale with height rod (rarely used),$120, (winnetka),Dec  8
LED Projector,$40, (North Hollywood),Dec  8
Locking boxes Sentry Vaultz,$49, (Hidden Hills),Dec  8
Mirror Mirror on the wall,$50, (West LA),Dec  8
Hybrid battery repair,$350, (Panorama City),Dec  8
Office / Lobby Chairs - high quality,$20, (Los Angeles),Dec  8
Studio Workstation,$1800, (North Hollywood),Dec  8
1970 YAMAHA ENDURO ENGINE NICE HT1 lk LT1 90/100 cc GREAT Cond.~Complt,$150, (Bellflower  California),Dec  8
2006 *Honda* *Element* *EX-P*,$8450, (Honda Element),Dec  8
Hybrid battery repair,$350, (Alahambra),Dec  8
MICHAEL KORS Shoes Like New,$10, (Los Angeles),Dec  8
4 New Tires 215/70/16 Falken Wildpeak A/T 215/70R16 2157016 ☆☆☆,$440, (Van Nuys),Dec  8
Alienware 27 Gaming Monitor - AW2720HF,$350,NA,Dec  8
17 toyota sienna,$14200, (N Long beach),Dec  8
iPhone XS 64gb factory unlocked,$400, (SFV),Dec  8
BRINN'S VINTAGE 11-PIECE PORCELAIN NATIVITY SET,$75, (CULVER CITY),Dec  8
tools screw drivers tape measures plyers,$34, (Hidden Hills),Dec  8
2015 CHEVY EQUINOX LT,$1475, (North hills ca),Dec  8
Grand Legacy 5FT3IN X 7FT9IN 2-Piece Rug Set - Used,$100, (Sherman oaks),Dec  8
Seat Back Massager with Heat,$20, (City Terrace),Dec  8
Sony 59ES DAT,$200, (Santa Monica),Dec  8
MICROWAVE GLASS DISH BRAND NEW,$5, (Eaglerock),Dec  8
2007-2012 bmw e92 328i FENDER,$150,NA,Dec  8
Hand Made Mudcloth ottoman,$170, (Venice),Dec  8
Dodge Viper Rims and Tires,$3200, (West Palmdale),Dec  8
PHONES NEED TO FIX—take all for $6 FIRM PRICE,$6, (EAGLE ROCK),Dec  8
Royal Typewriter,$60, (West Los Angeles),Dec  8
Framed Reproduction English Doctor Poster,$45, (West Los Angeles),Dec  8
MICROPHONE KONAMI NEW CONDITION FIRM PRICE,$5, (EAGLEROCK),Dec  8
Antique Phrenolgy Book,$35, (West Los Angeles),Dec  8
Retro Vintage Red Lamp,$45, (Los Angeles),Dec  8
Antique Medical Surgical Skull Saw,$85, (West Los Angeles),Dec  8
New memory form mattress topper king,$80, (la crescenta),Dec  8
Antique Medical Ophthalmic Instruments,$275, (West Los Angeles),Dec  8
Honda S2000 Invidia Q300 Single Catback Exhaust,$250, (Cypress),Dec  8
Antique Medical Inhaler,$45, (West Los Angeles),Dec  8
17" Ford Raptor F150 black oem wheels / rims,$990, (HB),Dec  8
Coleman Propane Cylinder - Camping size,$20, (Sun Valley),Dec  8
Antique Medical Pocket Scale,$125, (West Los Angeles),Dec  8
APPLE INSULATED ALUMINUM 24 ounce THERMOS FIRM PRICE,$6, (EAGLEROCK),Dec  8
Nissan Dodge ROTORS,$1, (WEST PALMDALE),Dec  8
Swiss Musical figure,$9, (Hidden Hills),Dec  8
ASSORTMENT OF MULTIPLE SIZE VACUME BAGS-BRAND NEW-take all of them for,$5, (Eaglerock),Dec  8
Antique Medical Trepanation Set 1818,$900, (West Los Angeles),Dec  8
Brother printer/scanner/copier,$30, (Venice),Dec  8
Antique Medical Autopsy Set,$350, (West Los Angeles),Dec  8
Antique Framed Botanical of st. John's Wort 1823,$125, (West Los Angeles),Dec  8
Antique Pharmacy Troemner Scale,$130, (West Los Angeles),Dec  8
Brass Pendant Light,$75, (Santa clarita),Dec  8
Cannondale bike frame,$50, (Venice),Dec  8
F250 F350 Window Seals Weather strips,$20, (West Palmdale),Dec  8
BUNGEES AND CHAINS-take all for $4,$4, (GLENDALE),Dec  8
8mm VIDEO CASSETTE BRAND NEW IN PACKAGE,$5, (Eaglerock),Dec  8
10 Piece T-Handle metric hex key set,$9, (Hidden Hills),Dec  8
Head Vector Ski Boots,$200, (Venice),Dec  8
AUTO SUPPLIES-FIRM PRICE,$5, (EAGLE ROCK),Dec  8
HEX   ALLEN WRENCHES,$4, (EAGLE ROCK),Dec  8
ALLEN WRENCH SET FIRM PRICE,$7, (GLENDALE),Dec  8
CAR JACK 3 ton-    one left FIRM PRICE,$6, (GLENDALE),Dec  8
HAND MANUAL RATCHET. FIRM PRICE,$10, (GLENDALE),Dec  8
HEX WRENCHES FIRM PRICE  ALLEN WRENCHES,$5, (GLENDALE),Dec  8
Lawnmower / Lawn mower,$285,NA,Dec  8
Dodge Viper Hood,$1200, (West Palmdale),Dec  8
Rolling shelves work bench,$19, (Hidden Hills),Dec  8
TOOLS TAKE ALL For $5,$5, (EAGLE ROCK),Dec  8
GENERAL PIPE CUTTER 1/8 to 1 1/8 inches NEW FIRM PRICE,$8, (GLENDALE),Dec  8
Roland Cube 60 Amp Vintage OBO,$150, (Van Nuys),Dec  8
Pelican Case - Air 1607,$175,NA,Dec  8
Vintage side table lamps,$79, (Beverly Hills),Dec  8
GORGEOUS LARGE GUAN YIN NATURAL GREEN JADE STATUE,$450, (CULVER CITY),Dec  8
yeezy 500 utility black,$320,NA,Dec  8
Sunn PA System (2) 4x12 Speaker Cabinets 4 Channel Mixer OBO,$275, (Van Nuys),Dec  8
iPad mini,$50, (Venice),Dec  8
Lawnmower / Lawn mower,$125,NA,Dec  8
Vintage Columbia Mandolin US Made 1920's,$235, (Torrance),Dec  8
women's skull n bones beach cruiser with basket,$200, (Lakewood ca),Dec  8
Vox TB35C2,$585, (Van Nuys),Dec  8
Real m30 shirts,$20, (Santa Monica),Dec  8
2015 honda civic,$8200, (N Long beach),Dec  8
Three  3 pronged extension cords,$19, (Hidden Hills),Dec  8
Lawnmower / Lawn mower,$125,NA,Dec  8
DC Comics New 52 Super Heroes Vs Super Villains Action Figure 7-Pack,$75, (Van Nuys),Dec  8
Lawnmower / Lawn mower,$125,NA,Dec  8
Lawnmower / Lawn mower,$135,NA,Dec  8
Holy Grail Neo Reverb Guitar Pedal,$100,NA,Dec  8
Ladies waist 32" floral pattern skirt with pockets,$2, (Woodland Hills / Warner Center),Dec  8
60's GIBSON Kalamazoo Bass Neck,$235, (Torrance),Dec  8
various Dog Patches__Service Dog__Velcro__$5 to $8__,$5, (Glendale),Dec  8
Craig Stereo Cassette Tape Deck Series 5000 VERY RARE Vintage OBO,$125, (Van Nuys),Dec  8
step 2 kitchen,$75, (sun valley),Dec  8
Harman Kardon HK 330i Ultrawideband Linear Phase Stereo Receiver OBO,$100, (Van Nuys),Dec  8
PEDEGO E-Bike As New,$900, (Santa Monica),Dec  8
step 2 push car,$30, (sun valley),Dec  8
FCS Futures Surfboard Fins & Bag,$1,NA,Dec  8
Steel Work Bench Tool Cart,$0, (Paramount),Dec  8
Dollhouse Doll house (good condition),$59, (winnetka),Dec  8
BEAUTIFUL LARGE DECORATIVE WALL PLAQUE,$40, (CULVER CITY),Dec  8
DCM TimePiece Home Stereo Speakers Vintage OBO,$85, (Van Nuys),Dec  8
Honda S2000 Invidia Q300 Single Catback Exhaust,$250, (Cypress),Dec  8
3 Dot Pink Tee,$8, (Encino),Dec  8
Roland AIRA VT 3 voice transformer Vocal FX,$180,NA,Dec  8
🏡Investor needed 4 turn key new home development permits done🏡,$1,NA,Dec  8
Land Rover LR4,$22500, (Los Angeles),Dec  8
Pelican Cases - Air 1535  (2 available) (Lighter version of the 1510),$160, (Los Angeles),Dec  8
NEW NFL Official Ladies Raiders T Shirt,$15, (Warner Center / Canoga Park),Dec  8
Latin Percussion LP Maracas,$20,NA,Dec  8
CB2 office chair,$200, (Los Angeles),Dec  8
Michael Stars Hot Pink Tee,$14, (Encino),Dec  8
2008 Honda Civic LX Sedan,$8500, (Los Angeles),Dec  8
BEAUTIFUL XL DECORATIVE WALL PLAQUE,$40, (CULVER CITY),Dec  8
Rogue Bass in Super Condition Left Hand,$95, (Torrance),Dec  8
2018 Harley Davidson Exhaust,$250, (Pasadena),Dec  8
Mid Century Modern Bubble Hanging Chair Globe Egg OBO,$499, (Van Nuys),Dec  8
Aulos Recorder Tenor 211a,$50,NA,Dec  8
Panasonic Reel To Reel Recorders/Players OBO,$95, (Van Nuys),Dec  8
3 Dot Criss Cross white tee,$8, (Encino),Dec  8
Macbook Pro 15" Retina - Intel Core i7 Quad Core,$1099, (all of L.A.),Dec  8
2006 HUMMER H3 DRIVER HEAD LAMP,$99, (south gate),Dec  8
Gamer Large Boys Video Controller T-Shirt,$5, (Warner Center / Canoga Park),Dec  8
22” Vertini wheels,$1500,NA,Dec  8
Digitech 2112 guitar rack system,$225, (Obo),Dec  8
3 DOT SHORT SLEEVE WHITE V NECK TEE,$10, (Encino),Dec  8
2020 HYUNDAI PALASAIDE PASSENGER SIDE FENDER,$229, (south gate),Dec  8
USB-C cables,$0, (Santa Monica),Dec  8
Moving sale,$100, (Normandy and Century),Dec  8
2017 Lexus LX passenger side fog lamp,$149, (south gate),Dec  8
3 DOT SLEEVELESS TEE Black,$10, (Encino),Dec  8
2014 Porsche Cayenne S Sports rear bumper and lower Valance,$199, (south gate),Dec  8
Gamer Large Boys Video Controller T-Shirt,$5, (Warner Center / Canoga Park),Dec  8
Honda S2000 Invidia Q300 Single Catback Exhaust,$250, (Cypress),Dec  8
2018 TESLA MODEL S RIGHT SIDE ROCKER MOLDING,$189, (south gate),Dec  8
Work table,$80,NA,Dec  8
Work table,$80,NA,Dec  8
Green 5-Drawer Wood Dresser,$225, (Beverly Hills),Dec  8
Power Rack-Pull Up Bar-Squat Rack,$250, (Whitley Heights),Dec  8
Bruce Lee Kato the Green Hornet Now Comics 4 issues,$20, (Reseda),Dec  8
MCM 45" Turkish Round Brass Tray Table on Folding Wooden Stand,$2515, (West Hollywood),Dec  8
Artificial Turf/Grass priced $1/sqft - Free Shipping - Custom Cuts,$0, (Encino),Dec  8
TIG WELDER Miller Dialarc 300 amp,$2200, (Northridge),Dec  8
BIKES,$170, (long beach),Dec  8
Privacy Fence Screen - Custom Sizes - Free Delivery/Same Day Pick Up,$0, (Simi Valley),Dec  8
two ultra320 SCSI 80 pin hard drives with compaq server caddy,$40, (Reseda),Dec  8
Waste King Legend Series 1 HP Garbabe Disposal L-8000 (new),$80, (Long Beach),Dec  8
Soprano (M) Ladies Royal Blue Lightweight Blouse,$1, (Woodland Hills / Warner Center),Dec  8
Sun Shade Sail Canopy (Waterproof Too) - Custom Sizes - Free Delivery,$0, (Simi Valley),Dec  8
Modern Stool / Chair - adjustable height,$20, (Porter Ranch),Dec  8
Custom Photo Proofer - for Enlarger / Darkroom,$10, (Sun Valley),Dec  8
Bridgestone Battlax Front Tire - Africa Twin,$40, (South Pasadena),Dec  8
Artificial Turf/Grass - $1/sq. ft - Free Shipping - Custom Cuts,$0, (Culver City),Dec  8
Kia Sportage 2015 Rocker Panel (Both Sides) OBO,$90, (San Dimas),Dec  8
Elastic. 1” rib heavy duty white colors,$29, (Los Angeles),Dec  8
KIA Sportage Side Step Bracket,$20, (San Dimas),Dec  8
FREE Cardboard FREE!,$0, (south el monte),Dec  8
