product, price, location, date
Vintage Brownie Target six-16 USA camera 198831,$49, (Santa Clarita),Dec  8
Large Vintage Ceramic Table Lamp,$30,NA,Dec  8
SOHO Soft Pad Drafting Chair (White),$270, (Palms),Dec  8
SOHO Soft Pad Drafting Chair (White),$270, (Palms),Dec  8
Garden,$20, (Westminster),Dec  8
2017 Ford Fusion front driver door,$229, (south gate),Dec  8
Royal Gallery Large Crystal Bowl with Box,$35, (Rancho Palos Verdes),Dec  8
2014 BMW Z4 Roadster passenger side tail light,$199, (south gate),Dec  8
Judaica Doris Glass Art Hamsa Blessing for the Home,$20, (Rancho Palos Verdes),Dec  8
Cruis'n USA Arcade PCB Full Conversion Kit,$200, (Van Nuys CA),Dec  8
Mid Century Peacock Wall Hanging,$125,NA,Dec  8
French oak and walnut inlaid game table,$599, (Calabasas),Dec  8
Apple Macbook OS 10.11 El Capitan 2.13 Ghz 4 GB RAM 500 GB HDD NCidia,$200, (LONG BEACH),Dec  8
Centipede Cocktail Arcade Machine,$400, (Van Nuys CA),Dec  8
2020 CHEVY SILVERADO . PASSENGER SIDE FRONT DOOR,$559, (south gate),Dec  8
Raw Silk Embroidered Tallit Prayer Shawl and Yarmulke with Bag,$125, (Rancho Palos Verdes),Dec  8
I'm looking for a gaming laptop budget 1000 can pick up,$1000, (Sun Valley),Dec  8
2018 HONDA CRV TOURING REAR BUMPER,$199, (south gate),Dec  8
Lot of Jewish Books Tanakh Prayer Seder High Holiday Etz Hayim,$54, (Rancho Palos Verdes),Dec  8
DVD movies part 2,$2, (Downey),Dec  8
New Home for Mini Pig,$0, (Los Angeles),Dec  8
Potted Cactus in new Ceramic Pot,$75, (Los Angeles),Dec  8
Crate & Barrel Dahlia Large Round Mirror,$112, (Mar Vista),Dec  8
DIAMOND SELECT GALLERY CASTLEVANIA TREVOR BELMONT PVC DIORAMA NEW,$40, (Long Beach),Dec  8
2018 Acura TLX grill chrome trim,$99, (south gate),Dec  8
Vintage Supercruiser skateboard scooter,$50, (Acton),Dec  8
L-shaped Sofa,$250, (Walnut CA),Dec  8
Dining Table - Counter Height / Tall,$40, (Santa Monica),Dec  8
Akai Professional MPK25 MIDI Controller,$115, (Manhattan Beach),Dec  8
BATMAN WHO LAUGHS 1 DC LUCIO PARRILLO VARIANT 3 PACK 1st GRIM KNIGHT,$75, (LONG BEACH),Dec  8
Yokohama 225/55/17 Tires w/ Wheels,$500, (Leimert Park),Dec  8
2016 BENTLEY CONTINENTAL GT CONVERTIBLE,$139990, (ROLLING HILLS),Dec  8
Queen Bed Frame; modern gray,$200, (South Pasadena),Dec  8
TED Metal Plaque,$10, (Hollywood),Dec  8
Heavy Wood IKEA Bookshelf | $40 OBO,$40, (Echo Park),Dec  8
schwinn 5 speed beach cruiser w/tank,$350, (Lakewood ca),Dec  8
Sinz 140mm crankset sqaure taper 5 bolt 110bcd BMX,$40, (South Pasadena),Dec  8
Curtis Jere Era Mid Century Brutalist Tree Wall Hanging Sculpture,$325, (Mar Vista),Dec  8
SIDI Vertigo Motorcycle Boots,$75,NA,Dec  8
2016 TOYOTA YARIS IA DRIVER TAIL LAMP,$99, (south gate),Dec  8
RACEFACE RIDE XC cockpit — stem — seatpost — handlebars — lock on grips,$60, (South Pasadena),Dec  8
2000 Lexus ES300 driver side fender with molding,$99, (south gate),Dec  8
Craftsman 9000 Lumens Portable Tripod Worksite Light,$100, (Mission Hills),Dec  8
mid century modern couch,$125, (Los Angeles),Dec  8
2001-2007 Mercedes C240 C230 C320 Parts,$1, (Gardena),Dec  8
Dining chairs,$65,NA,Dec  8
Volkswagen Bus BBQ Grill,$75, (Winnetka),Dec  8
TED Metal Plaque,$10, (Hollywood),Dec  8
SUBARU IMPREZA FORESTER LEGACY OUTBACK ENGINE MOTOR 2.5L EJ25 LOW MILE,$1250, (LA JDM Wilmington),Dec  8
Customize Fire Pit,$0, (Winnetka),Dec  8
Gretsch USA Custom Drums,$2100,NA,Dec  8
w203 Mercedes c240 c320 c230 sub frame w disc  breaks,$425, (Gardena),Dec  8
2016 AUDI A3 RADIATOR CORE SUPPORT,$199, (south gate),Dec  8
PS5 Playstation 5 Console Digital + Disc : Sealed + Receipt + Warranty,$1100, (Santa Monica),Dec  8
Sound Proof Panels,$500,NA,Dec  8
1983 Mercedes 380 SL SL-Class Roadster 2D,$0, (Gardena),Dec  8
Vintage Italian Iron Globe Swag Lamp Lantern,$225, (Mar Vista),Dec  8
TED Metal Plaque,$10, (Hollywood),Dec  8
Lot of Family Kids Games,$25, (Rancho Palos Verdes),Dec  8
2008 Cadillac SRX Hood,$229, (south gate),Dec  8
Female Pastel Mystic Potion Ball Python,$500, (Covina),Dec  8
2018 Audi A3 passenger side tail lamp NEW,$199, (south gate),Dec  8
2014 JEEP CHEROKEE LATITUDE ... PASSENGER REAR DOOR,$399, (south gate),Dec  8
Jersey Style Water Filled Traffic Barriers,$250, (Los Angeles),Dec  8
Blue Glass Case Container Very Unique,$25, (Granada Hills),Dec  8
Size 4-6 child's Witch Halloween Costume,$0,NA,Dec  8
Acoustic Panels,$500,NA,Dec  8
2017 Infiniti Q70 rear bumper,$399, (south gate),Dec  8
Gretsch USA Custom Drums,$2100,NA,Dec  8
100 Spoke Chrome Wheels 13 14 15,$699,NA,Dec  8
SchoolHouse Rock DVD and Official Guide Book,$20, (Rancho Palos Verdes),Dec  8
Ludwig Black Beauty,$725,NA,Dec  8
Selling Thousands of rims Brand New &%$#$%^%$#,$2000, (north Hollywood),Dec  8
2018 Toyota Mirai  ... passenger side fender,$259, (south gate),Dec  8
Pokémon Holo Cards ($15 - $20 each) NM-HP - Snorlax Vaporeon etc,$20, (Monterey Park),Dec  8
Acura TSX K24A RBB Motor Engine 2.4L IVTEC Low Miles,$649, (Wilmington),Dec  8
JVC MX-D401T 3-DISC /AM FM / DUAL CASSETTE SHELF STEREO SYSTEM,$50, (Burbank),Dec  8
two stock aluminum 16 inch chevy rims 5 on 115mm fits other cars,$100, (montebello),Dec  8
2010 benz e class    ...  front  bumper cover,$259, (south gate),Dec  8
